rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
L.Miller,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Diggs,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,15,,,0.0,0.0,1.0,0.0,0.0,0.0
A.Morris,0,14,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,1,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
A.Morris,0,-1,,,0.0,0.0,1.0,0.0,0.0,0.0
L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Garoppolo,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Garoppolo,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,-5,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Breida,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Morris,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Cousins,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Cook,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Murray,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
